Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
rest,3,4,3,rest,6,4
rest,3,4,3,rest,8,4
rest,3,4,3,rest,4,4
rest,3,4,3,rest,9,6
rest,3,4,3,rest,10,6
rest,3,4,Crosstrain,rest,12,8
rest,bike,4,Crosstrain,rest,8,6
rest,speed,4,Crosstrain,rest,13,8
rest,hills,5,Crosstrain,rest,14,9
rest,speed,5,Crosstrain,rest,16,10
rest,bike,6,Crosstrain,3,10,6
rest,speed,6,Crosstrain,3,16,10
rest,hills,6,Crosstrain,4,18,10
rest,speed,6,Crosstrain,4,20,10
rest,bike,4,Crosstrain,4,10,8
rest,hills,8,Crosstrain,4,22,12
rest,speed,8,Crosstrain,4,22,13
rest,bike,4,Crosstrain,4,12,8
rest,hills,10,Crosstrain,4,25,14
rest,speed,10,Crosstrain,4,26,14
rest,hills,10,Crosstrain,4,26,15
rest,6,12,Crosstrain,4,12,4
3,2,rest,rest,rest,50,rest
rest,Crosstrain,8,4,4,12,8
rest,8,10,4,4,28,14
rest,8,15,5,4,28,15
rest,8,15,5,4,30,18
rest,8,8,Crosstrain,4,12,8
rest,10,15,6,4,30,20
rest,10,15,8,4,32,20
rest,10,15,8,5,32,20
rest,5,10,Crosstrain,4,14,10
rest,4,8,4,rest,10,5
rest,2,3,rest,2,100,rest
