Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,6,4,0,0,13,8
0,6,5,0,0,14,9
0,6,5,0,0,16,10
0,0,6,0,3,10,6
0,6,6,0,3,16,10
0,6,6,0,4,18,10
0,6,6,0,4,20,10
0,0,4,0,4,10,8
0,6,8,0,4,22,12
0,6,8,0,4,22,13
0,0,4,0,4,12,8
0,6,10,0,4,25,14
0,6,10,0,4,26,14
0,6,10,0,4,26,15
0,6,12,0,4,12,4
3,2,0,0,0,50,0
0,0,8,4,4,12,8
0,8,10,4,4,28,14
0,8,15,5,4,28,15
0,8,15,5,4,30,18
0,8,8,0,4,12,8
0,10,15,6,4,30,20
0,10,15,8,4,32,20
0,10,15,8,5,32,20
0,5,10,0,4,14,10
0,4,8,4,0,10,5
0,2,3,0,2,100,0
