Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Rest,4,4,4,Rest,14,7
Rest,4,4,4,Rest,4,4
Rest,4,6,4,Rest,16,8
Rest,4,6,4,Rest,6,3
Rest,4,6,4,Rest,18,9
Rest,4,6,4,Rest,8,4
Rest,4,8,4,Rest,20,10
Rest,4,8,4,Rest,10,6
Rest,4,8,4,Rest,22,10
Rest,4,8,4,Rest,10,6
Rest,4,10,4,Rest,24,10
Rest,4,10,4,Rest,10,8
Rest,4,10,4,Rest,24,10
Rest,4,10,4,Rest,10,8
Rest,4,12,4,Rest,26,10
Rest,4,10,4,Rest,10,8
Rest,4,12,4,Rest,26,10
Rest,4,10,4,Rest,10,8
Rest,4,Rest,6,Rest,10,Rest
4,3,2,Rest,Rest,Race,Rest
