StartDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
04/22/2019,rest,speed,6,walk,4/rest,16,10
04/29/2019,rest,hills,6,walk,4/rest,18,10
05/06/2019,rest,speed,6,walk,4/rest,20,10
05/13/2019,rest,hills,4,walk,4/rest,10,8
05/20/2019,rest,speed,8,walk,4/rest,20,12
05/27/2019,rest,hills,8,walk,4/rest,22,12
06/03/2019,rest,speed,8,walk,4/rest,22,12
06/10/2019,rest,hills,4,walk,4/rest,12,8
06/17/2019,rest,speed,10,walk,4/rest,25,13
06/24/2019,rest,hills,10,walk,4/rest,25,13
07/01/2019,rest,speed,10,walk,4/rest,25,13
07/08/2019,rest,hills,8,walk,4/rest,12,8
07/15/2019,rest,speed,12,walk,4/rest,28,15
07/22/2019,rest,hills,12,walk,4/rest,28,15
07/29/2019,rest,speed,12,walk,4/rest,28,15
08/05/2019,rest,hills,8,walk,4/rest,12,8
08/12/2019,rest,speed,15,walk,4/rest,30,15
08/19/2019,rest,hills,15,walk,4/rest,30,15
08/26/2019,rest,speed,15,walk,4/rest,30,20
09/02/2019,rest,hills,8,walk,4/rest,12,8
09/09/2019,rest,speed,15,walk,4/rest,30,20
09/16/2019,rest,hills,15,walk,4/rest,30,20
09/23/2019,rest,5,10,walk,4/rest,10,10
09/30/2019,10,4,rest,6,rest,10,
10/07/2019,5,3,2,rest,rest,100,rest
